City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chishtian,29.8,72.8667,309.04,34,0,6.32,PK,1718503389
84,saint-philippe,-21.3585,55.7679,294.88,92,93,1.14,RE,1718503390
85,shenjiamen,29.9576,122.298,297.58,87,99,2.84,CN,1718503258
86,qaqortoq,60.7167,-46.0333,276.84,87,100,1.1,GL,1718503390
87,bogotol,56.2078,89.5342,296.25,69,11,2.69,RU,1718503390
88,afaahiti,-17.75,-149.2833,301.08,84,49,6.87,PF,1718503390
89,chonchi,-42.6128,-73.8092,280.71,92,100,2.02,CL,1718503390
90,puerto baquerizo moreno,-0.9,-89.6,294.69,84,54,6.43,EC,1718503211
91,phulpur,25.55,82.1,313.79,23,43,8.09,IN,1718503390
92,magong,23.5654,119.5863,301.24,87,34,6.53,TW,1718503391
93,chibougamau,49.9168,-74.3659,286.94,47,0,1.54,CA,1718503391
94,erdek,40.3996,27.7935,292.77,78,0,2.0,TR,1718503391
95,invercargill,-46.4,168.35,282.05,99,99,0.45,NZ,1718503391
96,saldanha,-33.0117,17.9442,285.18,73,100,3.07,ZA,1718503391
97,wailua homesteads,22.0669,-159.378,303.39,80,15,2.24,US,1718503326
98,aasiaat,68.7098,-52.8699,275.75,88,18,2.77,GL,1718503391
99,portland,45.5234,-122.6762,290.66,60,0,6.69,US,1718503180
100,lobujya,27.95,86.8167,276.35,46,84,0.97,NP,1718503391
101,iskateley,67.6803,53.1512,278.16,66,10,3.58,RU,1718503391
102,kuta,-8.7233,115.1723,301.12,78,40,3.13,ID,1718503391
103,gadzhiyevo,69.2551,33.3362,283.78,94,100,4.11,RU,1718503392
104,kudahuvadhoo,2.6708,72.8944,301.65,75,2,4.34,MV,1718503392
105,manaure,11.7751,-72.4445,302.03,75,100,2.85,CO,1718503392
106,uturoa,-16.7333,-151.4333,300.06,79,16,8.03,PF,1718503392
107,ocean city,39.2776,-74.5746,295.25,78,0,0.89,US,1718503392
108,tofol,5.3248,163.0078,303.03,79,75,1.54,FM,1718503392
109,lazaro cardenas,17.9583,-102.2,301.0,84,23,2.03,MX,1718503392
110,badger,64.8,-147.5333,297.29,41,0,4.63,US,1718503392
111,greymouth,-42.4667,171.2,285.04,87,97,6.41,NZ,1718503392
112,charters towers,-20.1,146.2667,296.09,25,0,4.22,AU,1718503392
113,marsh harbour,26.5412,-77.0636,301.28,78,100,3.24,BS,1718503203
114,nuuk,64.1835,-51.7216,283.49,66,75,8.23,GL,1718503393
115,luderitz,-26.6481,15.1594,293.63,23,24,4.61,NA,1718503393
116,tosontsengel,48.7567,98.2839,290.66,53,58,1.12,MN,1718503393
117,west island,-12.1568,96.8225,299.14,94,75,8.75,CC,1718503211
